token,count
14,35688101.0
suivant,35469074.0
petit,35445364.0
etc,35380771.0
politique,35121360.0
peine,35016740.0
titre,34818615.0
mot,34815481.0
cependant,34624450.0
Sur,34604573.0
mai,34580451.0
porte,34555356.0
G.,34320273.0
aucun,34317854.0
mars,34220346.0
étant,34126607.0
aucune,34122141.0
choses,34048598.0
également,34025821.0
parties,33961467.0
r,33914896.0
années,33716818.0
Société,33585120.0
%,33566834.0
travaux,33534735.0
vu,33488991.0
Par,33488418.0
grands,33431467.0
d'abord,33180635.0
voit,33154671.0
français,33151389.0
l'un,33095531.0
furent,33091510.0
maison,33050610.0
heures,32984671.0
juin,32941389.0
lequel,32869885.0
V,32800381.0
21,32775335.0
50,32692569.0
milieu,32683618.0
main,32514839.0
lui-même,32494465.0
cœur,32481728.0
s'en,32475119.0
yeux,32408158.0
suis,32381407.0
19,32327846.0
mal,32324625.0
rendre,32294258.0
E.,32288604.0
gouvernement,32277930.0
sorte,32217145.0
valeur,32178778.0
dès,31973413.0
pris,31936112.0
père,31931146.0
tête,31925444.0
Que,31879731.0
Louis,31843746.0
22,31692725.0
enfin,31660111.0
demande,31534004.0
R.,31511052.0
d'après,31431586.0
service,31369750.0
qu'en,31285818.0
seule,31252949.0
loin,31203726.0
contraire,31134457.0
ait,31116299.0
fer,31115688.0
aurait,30989075.0
conditions,30981204.0
peuple,30917250.0
lettre,30858688.0
H.,30835044.0
faits,30778273.0
aujourd,30651550.0
exemple,30598300.0
famille,30453534.0
mêmes,30419671.0
juillet,30411915.0
mettre,30162138.0
semble,30096459.0
24,30075540.0
système,29946279.0
personne,29832602.0
seront,29809410.0
100,29782093.0
S,29707371.0
jeune,29695253.0
possible,29620906.0
vient,29559824.0
3.,29489556.0
livre,29450223.0
générale,29433429.0
\,29426657.0
livres,29333399.0
I.,29282379.0
peut-être,29226884.0
23,29221359.0
B.,28968170.0
F.,28949733.0
bonne,28913267.0
bois,28860223.0
avril,28824112.0
francs,28777890.0
parmi,28771320.0
avoit,28712222.0
h,28712137.0
Des,28707228.0
c,28669159.0
cinq,28605766.0
LA,28587184.0
commerce,28547827.0
M,28503153.0
haut,28394377.0
droits,28335716.0
ministre,28299754.0
[,28277026.0
lorsque,28259777.0
l'homme,28193689.0
28,28170916.0
gens,28149355.0
produit,28015733.0
vol,28012332.0
MM.,27995002.0
tu,27987137.0
und,27945543.0
selon,27918698.0
ensuite,27883122.0
lettres,27847485.0
petite,27798307.0
août,27770345.0
do,27695401.0
faite,27619227.0
Vous,27523263.0
27,27508342.0
pouvait,27494167.0
décembre,27404206.0
société,27321670.0
enfants,27295568.0
die,27264704.0
mis,27229581.0
mouvement,27228058.0
va,27123682.0
l'eau,27105666.0
X,27087392.0
janvier,26982112.0
présente,26958946.0
saint,26951296.0
grandes,26817043.0
eut,26790175.0
n'ont,26740421.0
membres,26629018.0
chef,26607909.0
public,26594472.0
mesure,26559365.0
D.,26552503.0
vrai,26441869.0
d'ailleurs,26420015.0
veut,26380759.0
caractère,26374461.0
telle,26361495.0
liberté,26340459.0
C,26257687.0
année,26227452.0
simple,26200843.0
française,26194993.0
26,26039006.0
x,26016353.0
te,25930712.0
fur,25862787.0
état,25819727.0
29,25734924.0
Pierre,25547445.0
doivent,25444132.0
fond,25422405.0
certains,25323156.0
matière,25316475.0
Ainsi,25286477.0
l'état,25243994.0
certain,25193713.0
mille,25124758.0
façon,25061941.0
l'histoire,24952214.0
premiers,24811325.0
tel,24778258.0
savoir,24752569.0
lois,24717168.0
etc.,24571954.0
but,24553297.0
u,24543300.0
qu'elles,24538332.0
l'art,24525165.0
dernière,24514916.0
duc,24401816.0
j,24389729.0
propre,24365159.0
b,24363477.0
divers,24341773.0
devait,24293842.0
long,24291130.0
nécessaire,24246573.0
pourrait,24205771.0
vos,24143277.0
présence,24067115.0
comte,24040407.0
droite,24003973.0
<,23906477.0
Après,23887478.0
c'est-à-dire,23776271.0
diverses,23752034.0
six,23739405.0
mer,23603824.0
chacun,23597495.0
c.,23575409.0
conseil,23553908.0
genre,23425516.0
date,23396495.0
points,23382585.0
prince,23366966.0
31,23319379.0
second,23306444.0
septembre,23243104.0
s'y,23226757.0
novembre,23212001.0
ligne,23167982.0
seconde,23120429.0
n'était,23096303.0
l'ordre,23073178.0
besoin,22980645.0
personnes,22926294.0
l'auteur,22907006.0
longtemps,22802680.0
publique,22723643.0
février,22690278.0
présent,22677777.0
mains,22645198.0
l'a,22612903.0
lors,22581279.0
somme,22563987.0
sait,22547246.0
is,22530507.0
gauche,22527059.0
autant,22484132.0
Charles,22477775.0
nouvelles,22422157.0
IV,22390632.0
paix,22378235.0
parler,22368741.0
moyens,22350045.0
H,22336245.0
principe,22236318.0
cour,22171216.0
Sa,22170236.0
situation,22165651.0
octobre,22126577.0
E,22123519.0
The,22111152.0
femmes,22093989.0
texte,22013922.0
Roi,21992476.0
ordre,21974408.0
el,21970549.0
aura,21954937.0
Du,21915617.0
Rome,21912855.0
Tout,21899903.0
Art,21867312.0
trouver,21811687.0
coup,21802886.0
Comme,21797014.0
pièces,21757702.0
quantité,21749582.0
mots,21722721.0
écrit,21706392.0
tard,21699444.0
base,21659179.0
vérité,21659101.0
tour,21590509.0
sommes,21570399.0
justice,21546134.0
maître,21536407.0
plan,21515798.0
cent,21515696.0
O,21497484.0
voix,21449058.0
ad,21415384.0
mère,21413282.0
l'article,21278423.0
feu,21251653.0
J'ai,21238727.0
T.,21150482.0
Son,21126752.0
étoit,21106115.0
l'esprit,21100137.0
n'avait,21035342.0
tandis,21025079.0
ET,21024459.0
sang,20948049.0
Voir,20897375.0
fille,20883648.0
plutôt,20864662.0
d'avoir,20841952.0
Quand,20760603.0
Or,20754042.0
foi,20688496.0
face,20648591.0
v.,20604922.0
passé,20498099.0
2°,20485277.0
commune,20467995.0
résultats,20442260.0
faites,20416208.0
comment,20382830.0
particulier,20353988.0
di,20305427.0
outre,20300610.0
B,20291123.0
époque,20285396.0
s'agit,20236530.0
président,20193215.0
grâce,20129414.0
maintenant,19995762.0
petits,19935108.0
40,19876013.0
Conseil,19868530.0
soient,19849386.0
langue,19840273.0
projet,19838408.0
volume,19763954.0
l'une,19717624.0
dix,19715053.0
quelle,19700864.0
termes,19692827.0
partir,19622387.0
eût,19616338.0
passer,19574470.0
certaines,19551828.0
parti,19538617.0
pp,19520715.0
l'année,19516868.0
quel,19490879.0
nuit,19480203.0
qu’il,19477272.0
développement,19389796.0
d'en,19385860.0
DES,19307194.0
rôle,19295346.0
biens,19180634.0
voie,19120268.0
série,19086793.0
bas,19076053.0
quoi,19049574.0
pensée,18995104.0
nationale,18872306.0
fig,18848904.0
troisième,18779860.0
plupart,18713991.0
afin,18607257.0
d'eau,18485936.0
art,18467018.0
malgré,18401292.0
succès,18288149.0
science,18234124.0
classe,18189542.0
l'action,18171850.0
devoir,18143475.0
passage,17994199.0
nombreux,17978004.0
Enfin,17950060.0
François,17942912.0
faveur,17898746.0
pratique,17895063.0
lit,17875947.0
né,17820594.0
différentes,17797136.0
produits,17770770.0
....,17769751.0
trouvé,17760753.0
pied,17720403.0
environ,17695838.0
jugement,17660944.0
connaître,17647256.0
paraît,17636054.0
fa,17623505.0
l'air,17577763.0
direction,17555608.0
parle,17555213.0
vertu,17525562.0
chemin,17522866.0
lesquels,17520154.0
surface,17516435.0
qualité,17514652.0
faisant,17505306.0
"1""",17459245.0
N.,17442072.0
formes,17439554.0
puissance,17422355.0
voulu,17408272.0
von,17403106.0
traité,17381693.0
note,17371019.0
v,17363352.0
affaires,17337244.0
ouvrage,17335031.0
autour,17328952.0
g,17321837.0
faisait,17314384.0
espèce,17305313.0
charge,17298207.0
’,17292686.0
puisse,17276075.0
idées,17273741.0
jeunes,17237350.0
anciens,17208800.0
'était,17168512.0
beau,17129212.0
